name,grants_url,homepage,priority,canada_eligible,canada_confidence,career_stage_eligible,research_fit_score,research_fit_notes,tags,notes,deadline_hint,paper_count
Canada Foundation for Innovation,https://www.innovation.ca/funding-opportunities,https://www.innovation.ca/,medium,True,high,True,3,"Moderate fit. CFI primarily funds research infrastructure (equipment, facilities, technology platforms). The applicant's work in ecological restoration, AI-assisted evidence synthesis, and knowledge mobilization could benefit from infrastructure support, but CFI is not a traditional research grant funder. The translational ecology and LLM methods aspects may align with infrastructure for computational/digital research environments.",funding; ecology; canada-eligible,"CFI is a strong match for Canadian eligibility and career stage, but applicant should verify that their research has significant infrastructure requirements (equipment, facilities, data platforms, or computational systems) rather than primarily human-subjects fieldwork or conceptual research. Monitor for CFI's next major competition cycle.",,1
Biodiversa+,https://www.biodiversa.org/calls-for-proposals,https://www.biodiversa.org/,medium,True,medium,,4,"Strong alignment with ecological restoration, biodiversity conservation, and social-ecological systems themes typical of Biodiversa+ calls. Prairie grassland conservation and landowner engagement fit conservation/restoration focus. AI-assisted evidence synthesis and knowledge mobilization are emerging strengths in biodiversity research portfolios. Causal inference and systematic mapping methods are valued. Some fit uncertainty around translational ecology and AI/LLM methods depending on specific call themes.",funding; ecology; canada-eligible,Monitor Biodiversa+ for relevant calls in ecological restoration and biodiversity conservation that match the applicant's expertise. Verify Canadian eligibility and career stage requirements against specific call text before investing application effort. International partnership or bilateral funding mechanism with Canadian institution may enable participation.,,1
Division of Emerging Frontiers,https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=505135,,medium,True,medium,True,4,"Strong fit: DEF supports interdisciplinary research at the intersection of biology, engineering, and computation. Applicant's work on AI-assisted evidence synthesis, ecological restoration, and social-ecological systems aligns well with DEF's emerging frontiers mandate. Translational ecology and knowledge mobilization are relevant. Prairie conservation is domain-appropriate.",funding; ecology; canada-eligible,"Good research alignment with DEF's interdisciplinary scope, but Canadian institutional affiliation may restrict direct eligibility depending on the specific solicitation. Monitor for calls explicitly open to international institutions or collaborative arrangements with US partners.",,1
University of Kentucky,https://www.uky.edu/research/funding-opportunities,https://www.uky.edu/,medium,True,medium,True,3,"Partial overlap: ecological restoration and grassland conservation align with typical agricultural/environmental research at a land-grant university. However, the applicant's strength in AI-assisted synthesis, ontology development, and knowledge mobilization may be less central to UK's typical foci. Prairie grassland work is geographically relevant to North American context.",funding; ecology; canada-eligible,"University of Kentucky may have relevant research funding for ecological restoration and conservation, but without seeing specific open calls, program scope, or eligibility criteria, this warrants monitoring rather than immediate pursuit. The fit is moderate—ecology aligns but the heavy AI and translational methods emphasis may not be prioritized.",,1
University of Miami,https://research.miami.edu/research-support/funding-opportunities/,https://www.miami.edu/,medium,True,medium,,3,"Partial overlap: University of Miami has strengths in ecology, conservation, and environmental science that would align with the applicant's ecological restoration and grassland conservation work. However, the applicant's specific focus on prairie grasslands (North American temperate grasslands) and their translational ecology/knowledge mobilization work may be less central to UM's research priorities, which tend toward tropical/subtropical ecosystems and marine science. The AI-assisted evidence synthesis methods are innovative but may not be a core funder priority.",funding; ecology; canada-eligible,"Monitor this opportunity but verify eligibility and active calls on UM's website. The applicant's interdisciplinary work and Canadian location are likely acceptable, but research fit is moderate and career-stage fit is unclear without program-specific details.",,1
Division of Integrative Organismal Systems,https://www.nsf.gov/funding/pgm_summ.jsp?org=IOS&sel_org=IOS,https://www.nsf.gov/bio/ios/,medium,True,medium,True,3,"Moderate fit. IOS focuses on organismal biology, physiology, behavior, and ecology. The applicant's ecological restoration, prairie grassland conservation, and social-ecological systems work align with ecological interests. However, the funder's emphasis is primarily on fundamental organismal science rather than applied conservation or translational work. The applicant's AI-assisted evidence synthesis and knowledge mobilization are less central to IOS's traditional scope.",funding; ecology; canada-eligible,"Monitor for specific NSF-IOS funding calls that emphasize ecology and restoration; the applicant's organismal ecology work has some fit, but Canadian institutional eligibility is unclear without a live program announcement. If a specific RFP becomes available, verify Canadian eligibility and international collaboration terms.",,1
Dalhousie University,https://www.dal.ca/,,medium,True,high,,3,"Partial overlap. Dalhousie's strategic research clusters include 'Sustainable food systems', 'Climate tech and clean energy', and 'AI and digital innovation', which align with the applicant's ecological restoration, AI-assisted evidence synthesis, and prairie grassland conservation work. However, the page does not detail specific funding mechanisms, priorities, or calls that directly target translational ecology, social-ecological systems, or knowledge mobilization. The fit is plausible but uncertain without access to actual funding calls.",funding; ecology; canada-eligible,"Dalhousie is a strong Canadian research institution with thematic alignment to the applicant's work (sustainability, AI, social responsibility), but this page lacks specifics on active funding opportunities, eligibility criteria, and deadlines. Monitor Dalhousie's research funding portal and strategic clusters for postdoctoral or faculty start-up programs matching the applicant's profile.",,1
Strategic Environmental Research and Development Program,https://www.serdp-estcp.org/Funding-Opportunities,https://www.serdp-estcp.org/,medium,True,medium,True,4,"Strong fit with SERDP's emphasis on environmental remediation, ecological restoration, and applied research. Applicant's prairie grassland conservation and landowner engagement align well with SERDP's restoration priorities. Translational ecology and knowledge mobilization are valued. Less direct fit for AI-assisted evidence synthesis unless framed as tool for environmental decision-support.",funding; ecology; canada-eligible,"Good research fit for ecological restoration focus, but US federal agency origin raises eligibility questions for Canadian-only applications. Applicant should verify Canadian institutional eligibility and explore whether SERDP accepts Canadian partners in collaborative proposals with US institutions.",,1
San Diego Zoo Institute for Conservation Research,https://www.sdzwa.org/conservation-research,,medium,True,medium,True,4,Strong alignment with conservation and ecological restoration focus. Prairie grassland conservation and species recovery fit Zoo Institute's mission. Translational ecology and landowner engagement are relevant to applied conservation. LLM/AI methods less typical for traditional zoo research but increasingly valued in conservation planning.,funding; ecology; canada-eligible,"Good thematic fit for conservation-focused funder, but Canadian eligibility uncertain without confirmed funding page. Worth monitoring for open calls and verifying institutional eligibility before investing significant effort.",,1
Consortium of International Agricultural Research Centers,https://www.cgiar.org/funding/,https://www.cgiar.org,medium,True,medium,,3,"Moderate fit. The applicant's ecological restoration, prairie grassland conservation, and landowner engagement work aligns with CGIAR's agricultural and natural resource management focus. However, CGIAR's primary mandate is food security and agricultural productivity in developing regions, which may not centrally align with Canadian prairie conservation. The AI-assisted evidence synthesis and knowledge mobilization methods are valuable but somewhat peripheral to typical CGIAR priorities.",funding; ecology; canada-eligible,"Monitor this funder for specific calls aligned with ecological restoration or grassland management in relevant geographies. The applicant's interdisciplinary methods and knowledge mobilization focus are assets, but CGIAR's development-oriented agricultural mission may limit direct fit for Canadian prairie work unless positioned within international food security or climate adaptation contexts.",,1
Research Executive Agency,https://www.rea.ec.europa.eu,,medium,True,medium,,3,"REA funds primarily European research priorities and Horizon Europe objectives. The applicant's work in ecological restoration, social-ecological systems, and prairie conservation aligns with environment/sustainability themes. However, AI-assisted evidence synthesis and knowledge mobilization are secondary to ecological outcomes. Strong fit for restoration and conservation aspects; weaker fit for AI/LLM methods unless embedded in EU-priority climate/biodiversity goals.",funding; ecology; canada-eligible,"Monitor for open calls aligned with EU Horizon Europe environmental or digital innovation priorities. Canadian eligibility is probable but not certain; research fit is moderate, strongest for ecological restoration and conservation aspects rather than the AI/methodological innovation angles.",,1
University of Michigan,https://research.umich.edu/funding-opportunities/,https://www.umich.edu,medium,True,medium,True,4,"Strong alignment with ecological restoration, social-ecological systems, and translational ecology themes. AI-assisted evidence synthesis and LLM methods are emerging research areas that fit well with contemporary interdisciplinary funding priorities. Prairie grassland conservation and community engagement are specific applied ecology strengths. No obvious conflicts, though fit depends on University of Michigan's specific research priorities (unknown without page content).",funding; ecology; canada-eligible,"Potentially a good fit given the applicant's interdisciplinary profile and University of Michigan's likely research scope, but eligibility and active opportunities cannot be confirmed without access to the funding page. Recommend checking funder website directly for current calls, eligibility criteria, and whether Canadian researchers are explicitly welcomed.",,1
Directorate-General for Research and Innovation,https://research-and-innovation.ec.europa.eu,,medium,True,medium,,3,"The EC's research portfolio spans environmental sustainability, AI, and social innovation—areas with partial overlap to the applicant's work in ecological restoration, AI-assisted synthesis, and translational ecology. However, without visibility of specific calls, alignment is unclear. Prairie grassland conservation and landowner engagement in Canada may have limited relevance to EU-focused programming.",funding; ecology; canada-eligible,"Monitor this funder for calls aligned with ecological restoration and AI-assisted evidence synthesis, but the applicant must confirm Canadian eligibility and relevance for specific calls when they open. The page provided is only a language-selection interface; detailed program criteria are not visible.",,1
Rolex,https://www.rolex.com/,,medium,True,medium,True,3,"Rolex Awards typically support innovative, practical solutions to environmental and social challenges. The applicant's work in ecological restoration, prairie grassland conservation, and landowner engagement aligns with Rolex's conservation focus. However, Rolex traditionally emphasizes field-based, implementable projects; the applicant's heavy emphasis on AI-assisted evidence synthesis and translational/theoretical frameworks may not be the primary strength Rolex seeks. Social-ecological systems and knowledge mobilization are good fits.",funding; ecology; canada-eligible,"Monitor for active calls. The applicant's conservation and landowner engagement work fits Rolex's mission, but the research profile is more academic/evidence-synthesis oriented than the hands-on, implementable innovation Rolex typically prioritizes. Strong fit if the applicant can frame work around concrete field outcomes and social impact.",,1
John Templeton Foundation,https://www.templeton.org/grant-opportunities,https://www.templeton.org/,medium,True,high,True,3,"Moderate fit. JTF's core interests include complexity, emergence, and big questions in science and philosophy. The applicant's work on social-ecological systems, causal inference, and knowledge mobilization could align with JTF themes around complex systems. However, applied grassland restoration and landowner engagement may fall outside JTF's typical scope, which tends toward fundamental questions and worldviews rather than applied conservation. AI-assisted evidence synthesis and ontology development are more promising angles.",funding; ecology; canada-eligible,"Monitor for relevant JTF calls, particularly those addressing complexity in natural systems, evidence synthesis methodology, or AI/knowledge integration. The applied conservation focus may limit fit compared to more fundamental research programs, so review specific RFPs carefully before investing effort.",,1
Wageningen University and Research,https://www.wur.nl/en/research-facilities/funding-finder.htm,https://www.wur.nl/,medium,True,medium,,4,"Strong fit in ecological restoration, social-ecological systems, and conservation—core areas for Wageningen's agricultural and environmental research. Good alignment with translational ecology and knowledge mobilization. AI-assisted evidence synthesis and LLM methods are emerging strengths that align with Wageningen's digital agriculture initiatives. Prairie grassland conservation is less central to Wageningen's primary geography (Netherlands/temperate Europe focus), but the social-ecological and landowner engagement aspects are relevant.",funding; ecology; canada-eligible,"Wageningen is a strong fit for the applicant's ecological restoration and social-ecological systems work, with growing interest in AI-assisted methods. However, without access to the specific call (country eligibility, budget, deadline, career stage restrictions), and given Wageningen's primary focus on Netherlands/EU contexts, recommend monitoring for open calls and confirming Canadian eligibility before investing application effort.",,1
Crafoordska Stiftelsen,https://www.crafoordska.se/,,medium,True,medium,,3,"Partial overlap. The foundation has supported ecology and environmental research historically, which aligns with the applicant's ecological restoration and grassland conservation work. However, the applicant's heavy emphasis on AI-assisted methods, LLMs, and knowledge mobilization may fall outside traditional Crafoordska priorities, which tend toward classical natural sciences and medicine.",funding; ecology; canada-eligible,"Worth monitoring if an active call emerges. The applicant's ecological restoration focus is potentially aligned with Crafoordska's historical interests, but the strong methodological emphasis on AI and translational science may require a careful fit assessment when full funding details are available.",,1
Templeton World Charity Foundation,https://www.templetonworldcharity.org/grant-opportunities,https://www.templetonworldcharity.org/,medium,True,medium,,3,"Partial overlap. Templeton typically funds work on big questions (purpose, meaning, human flourishing, philosophical/scientific intersections). The applicant's work on social-ecological systems, knowledge mobilization, and AI-assisted evidence synthesis has some philosophical/interdisciplinary merit. However, prairie grassland conservation and landowner engagement are applied/local focus areas that may not align with Templeton's typical scope of foundational questions. The AI and translational ecology angles are potentially interesting to Templeton but not core to their usual priorities.",funding; ecology; canada-eligible,"Monitor for relevant calls. Templeton's international scope makes this potentially accessible to the applicant, but the research focus on applied ecological restoration and local conservation may not be well-aligned with Templeton's typical emphasis on foundational, philosophical, or existential questions. The AI and evidence synthesis components are more promising angles.",,1
Networks of Centres of Excellence of Canada,https://www.nce-rce.gc.ca,,medium,True,high,True,3,"Partial overlap. The applicant's work in ecological restoration, prairie grassland conservation, and landowner engagement aligns with NCE's typical focus on research networks and applied outcomes. However, NCE programs typically emphasize network-building and commercialization/knowledge mobilization through established centres rather than individual researcher projects. The applicant's AI-assisted evidence synthesis and causal inference methods are less central to traditional NCE priorities. Strong fit if an NCE centre exists in the applicant's research domain.",funding; ecology; canada-eligible,"Monitor NCE opportunities aligned with ecological restoration or sustainable agriculture networks. The applicant's strong translational ecology and knowledge mobilization focus fits NCE's mandate, but funding typically flows through established multi-institution centres rather than individual early-career researchers. Best pursued when launching a faculty position with centre-building ambitions.",,1
University of Bath,https://www.bath.ac.uk/research/funding/,https://www.bath.ac.uk/,medium,True,medium,True,4,"Strong fit for ecological restoration, social-ecological systems, and knowledge mobilization themes. Good alignment with translational ecology and community engagement. AI-assisted evidence synthesis and LLM methods are increasingly relevant to modern research funding. Prairie grassland conservation specificity may depend on Bath's geographic focus, but social-ecological restoration is widely funded.",funding; ecology; canada-eligible,"University of Bath funds interdisciplinary research with good thematic overlap to the applicant's restoration ecology and social-ecological systems work. Recommend checking the specific call requirements for Canadian eligibility, career stage restrictions, and research scope alignment before investing application effort.",,1
European Science Foundation,https://www.esf.org/funding,https://www.esf.org/,medium,True,medium,True,4,"Strong fit for translational ecology, social-ecological systems, and knowledge mobilization themes. AI-assisted evidence synthesis and systematic mapping align well with ESF's support for methodological innovation. Prairie grassland conservation and landowner engagement are regional specialties that fit broader ESF environmental research agendas. Causal inference and ontology development are less commonly prioritized by ESF.",funding; ecology; canada-eligible,"Promising fit for ESF if the applicant can access a scheme that supports Canadian participation (e.g., international collaborative grants or ESF partner country arrangements). Strong research alignment with ecological restoration and translational science, but Canadian eligibility requires verification against specific call criteria.",,1
Universiteit Antwerpen,https://www.uantwerpen.be/en/research/funding/,https://www.uantwerpen.be/,medium,True,medium,True,3,"Partial overlap likely. Antwerp's research strengths typically include environmental science and sustainability, which aligns with the applicant's ecological restoration and prairie grassland conservation work. However, without page content, unclear if the funder emphasizes social-ecological systems, AI-assisted methods, or knowledge mobilization equally. The interdisciplinary AI + ecology angle may be less central to traditional ecology funders.",funding; ecology; canada-eligible,"Monitor for open calls at Universiteit Antwerpen if they align with the applicant's ecological restoration focus, but confirm Canadian eligibility and postdoc/early-career track requirements before investing application effort. European funders may have geographic or partnership preferences not yet visible.",,1
Imperial College London,https://www.imperial.ac.uk/research-and-innovation/funding/,https://www.imperial.ac.uk/,medium,True,medium,,4,"Strong alignment with translational ecology, evidence synthesis, and knowledge mobilization themes likely prioritized by a research-intensive institution. AI-assisted methods and systematic mapping are contemporary strengths. Ecological restoration and grassland conservation are solid applied research areas. Social-ecological systems and landowner engagement show systems thinking. Potential weaker fit if the funder emphasizes pure ecological science over applied/social dimensions, but overall good match for interdisciplinary ecology.",funding; ecology; canada-eligible,"Imperial College London is a prestigious funder with likely international openness, and the applicant's interdisciplinary, translational ecology profile aligns well with contemporary research priorities. However, Canadian eligibility and current open calls are uncertain without page access; applicant should verify institutional eligibility requirements and monitor for postdoc/early-career schemes.",,1
University of Illinois at Urbana-Champaign,https://www.research.illinois.edu/funding,https://www.illinois.edu,medium,True,medium,,4,"Strong alignment with ecological restoration, grassland conservation, and translational ecology. AI-assisted evidence synthesis and systematic approaches match emerging research priorities. Social-ecological systems and landowner engagement fit broader sustainability/resilience research agendas at major land-grant institutions. Minor gap: unclear if funder prioritizes AI methods or knowledge mobilization specifically.",funding; ecology; canada-eligible,Promising research fit for an R1 institution with likely strengths in environmental sciences and conservation. Eligibility and career-stage fit require verification on the actual funding page before investing application effort.,,1
Intergovernmental Panel on Climate Change,https://www.ipcc.ch/,,medium,True,high,,3,"Moderate fit. The applicant's work on ecological restoration, prairie conservation, and climate adaptation aligns with IPCC Working Group II (Impacts, Adaptation and Vulnerability). However, IPCC does not conduct primary research—it assesses existing knowledge. The applicant's AI-assisted evidence synthesis and systematic mapping methods are relevant to IPCC's assessment work. Landowner engagement and translational ecology are less central to typical IPCC activities. The fit is stronger for author/contributor roles than for direct research funding.",funding; ecology; international; canada-eligible,"IPCC is not a traditional research funder offering grants to individual researchers; it is a UN assessment body that recruits scientists as authors and contributors. The applicant should explore opportunities to serve as a lead or contributing author on AR7 reports (particularly Working Group II on adaptation) if their expertise aligns, but should not expect direct project funding. Monitor the author nomination calls.",IPCC is calling for author nominations for 2027 Methodology Reports and is recruiting authors for the Seventh Assessment Report (AR7); specific submission deadlines not visible in truncated page content.,1
Battelle,https://www.battelle.org,,low,True,medium,,3,"Battelle funds applied research in energy, environment, security, and innovation. The applicant's work in ecological restoration, prairie conservation, and translational ecology aligns with environmental focus; however, Battelle typically emphasizes applied research with commercial or policy impact rather than foundational ecology. AI-assisted methods and knowledge mobilization are relevant to Battelle's innovation interests. Social-ecological systems and landowner engagement are less central to typical Battelle priorities.",funding; ecology; canada-eligible,"Without access to active funding calls, this appears a weak fit. Battelle's applied research focus and US headquarters suggest limited alignment with the applicant's academic career trajectory and fundamental research interests, though environmental programs warrant monitoring if specific calls open.",,16
European Research Council,https://erc.europa.eu/apply-grant,https://erc.europa.eu/,low,True,medium,True,3,"Partial overlap: ERC funds frontier research across all disciplines including ecology and AI/computational methods. The applicant's work in ecological restoration, causal inference, LLMs, and knowledge mobilization aligns with ERC's scope. However, the applied/translational focus (landowner engagement, prairie conservation) and community-based methods may be less aligned with ERC's emphasis on frontier/fundamental research. The interdisciplinary bridging is a strength.",funding; ecology; canada-eligible,"While the applicant's research fits ERC's scope and career stage, the critical barrier is geographic: ERC non-EU researcher funding requires relocation to the EU, but the applicant is pursuing Canadian faculty positions. Only pursue if the applicant plans to relocate to a European institution.","Page lists multiple grant schemes (Starting, Consolidator, Advanced, etc.) but does not specify current open calls or deadlines. Check erc.europa.eu for active call dates.",15
KU Leuven,https://www.kuleuven.be/english,,low,True,medium,,2,"KU Leuven is a research-intensive institution, but the provided page shows only generic institutional content (history, honorary doctorates, student life) with no visible specific research programs or funding calls. The applicant's work in ecological restoration, AI-assisted evidence synthesis, and social-ecological systems could potentially align with KU Leuven's interdisciplinary research mission, but without details on active funding schemes or departmental priorities, fit cannot be assessed.",funding; ecology; canada-eligible,"The provided page is primarily institutional marketing content without substantive funding opportunity details. While KU Leuven likely offers competitive funding for postdocs and early-career faculty, the applicant should locate the specific funding call and eligibility criteria before investing effort.",,10
Simons Foundation,https://www.simonsfoundation.org/grant-programs/,https://www.simonsfoundation.org/,low,True,medium,,2,"Simons Foundation primarily funds mathematics, theoretical physics, theoretical computer science, and life sciences (molecular biology, autism research, origins of life). The applicant's work in ecological restoration, social-ecological systems, and AI-assisted evidence synthesis has limited overlap. Some potential fit with AI/large language models and systematic methods, but the foundation's core focus on fundamental science rather than applied ecology and translational work creates significant misalignment.",funding; ecology; canada-eligible,"While Canadian eligible and the applicant's AI/methods expertise has marginal relevance, Simons Foundation's focus on fundamental science (math, physics, computational theory) rather than applied ecology and conservation makes this a poor strategic fit. Better to target ecology-specific or environmental funders.",,9
Novo Nordisk Fonden,https://novonordiskfonden.dk/da/ansog-om-stoette/,https://novonordiskfonden.dk,low,True,medium,,2,"Novo Nordisk Fonden primarily funds health, medicine, and life sciences research aligned with Novo Nordisk's business interests (diabetes, obesity, hemophilia, etc.). The applicant's work in ecological restoration, prairie conservation, and translational ecology has minimal overlap. AI-assisted methods and knowledge mobilization are not core priorities for this funder. The social-ecological and conservation focus does not align with the foundation's health/pharma mission.",funding; ecology; canada-eligible,"Poor research fit: Novo Nordisk Fonden prioritizes health sciences and medical research, not ecological restoration or conservation. While the applicant may be geographically eligible, the thematic misalignment makes this an unlikely match; applicant should prioritize Canadian environment/conservation funders.",,9
Knut och Alice Wallenbergs Stiftelse,https://www.kaw.wallenberg.org/en/research-programs,https://www.kaw.wallenberg.org,low,True,medium,,3,"Moderate fit. The applicant's work in ecological restoration, prairie grassland conservation, and translational ecology aligns with environmental/sustainability research that Swedish funders typically support. However, the strong emphasis on AI-assisted evidence synthesis, LLMs, and knowledge mobilization may be less central to traditional ecology funding priorities. The interdisciplinary approach is a strength, but the specific focus on North American prairie systems and landowner engagement is geographically specific to Canadian context.",funding; ecology; canada-eligible,"This funder is geographically misaligned (Swedish focus) and the applicant should prioritize Canadian, US, and North American funding sources for this career stage and research program. Monitor only if a Swedish collaboration opportunity emerges.",,7
Human Frontier Science Program,https://www.hfsp.org/funding,https://www.hfsp.org,low,True,high,True,2,"HFSP focuses on innovative cross-disciplinary research in life sciences, particularly molecular and cellular biology, neuroscience, and physics applied to biological systems. The applicant's work in ecological restoration, social-ecological systems, and knowledge mobilization is too applied and social-science focused for HFSP's traditional scope. While the applicant uses innovative methods (LLMs, causal inference), HFSP prioritizes fundamental biological mechanisms and molecular-level inquiry, not translational ecology or landowner engagement.",funding; ecology; canada-eligible,"Although the applicant is Canadian-eligible and at an appropriate career stage for HFSP, the fundamental research focus mismatch is significant. HFSP prioritizes mechanistic, molecular, and cellular-level biological research, while this applicant's work is ecology-and-society focused with applied conservation goals. Only pursue if reframing work toward fundamental biological mechanisms underlying social-ecological interactions.",,5
Arts and Humanities Research Council,https://www.ukri.org/councils/ahrc/grants-and-awards/,https://www.ukri.org/councils/ahrc/,low,True,medium,,2,"AHRC focuses on arts, humanities, and social sciences. The applicant's work spans ecology, AI, and social science with some humanities-relevant elements (knowledge mobilization, ontology development, community engagement), but the primary focus on ecological restoration and prairie grassland conservation sits outside core AHRC scope. The translational ecology and AI-assisted evidence synthesis aspects are marginally relevant to digital humanities/social science methods but not a strong fit.",funding; ecology; canada-eligible,"AHRC is a UK-focused funder with limited direct funding for Canadian-based researchers and institutions. The applicant's primary research (ecological restoration, prairie conservation) falls outside AHRC's core humanities/social science remit, making this a poor fit despite some methodological overlap in community engagement and knowledge mobilization.",,5
Ministry of Oceans and Fisheries,https://www.mof.go.kr/,,low,True,medium,,2,"Limited overlap. The applicant's core expertise is in prairie grassland ecological restoration and social-ecological systems, while this funder focuses on oceans and fisheries. The applicant's AI and evidence synthesis methods could theoretically apply to marine/fisheries contexts, but there is no stated marine or fisheries research focus in their profile. Knowledge mobilization and community engagement are potentially relevant cross-cutting themes.",funding; ecology; canada-eligible,"While the applicant is likely eligible as a Canadian researcher, the thematic mismatch between terrestrial prairie restoration and oceans/fisheries is substantial. This opportunity is unlikely to be a good fit unless the applicant can reframe their work within a marine or fisheries context.",,4
Division of Biological Infrastructure,https://www.nsf.gov/bio/dbi/solicitations.jsp,https://www.nsf.gov/bio/dbi/,low,True,medium,True,2,"DBI focuses on biological research infrastructure, instrumentation, and cyberinfrastructure support. The applicant's work in ecological restoration, AI-assisted evidence synthesis, and knowledge mobilization has limited overlap with typical DBI priorities (e.g., genomics platforms, computational biology infrastructure, museum collections). Social-ecological systems and translational ecology are peripheral to DBI's core scope.",funding; ecology; canada-eligible,"While the applicant may be eligible as a transitioning faculty member, the research focus on ecological restoration, knowledge mobilization, and social-ecological systems is a poor thematic fit for NSF DBI's infrastructure and cyberinfrastructure priorities. Consider NSF's Division of Environmental Biology or NIFA programs instead.",,3
University of Wisconsin-Madison,https://research.wisc.edu/funding/,https://www.wisc.edu/,low,True,medium,True,2,"UW–Madison is strong in ecology and environmental sciences, which aligns with the applicant's ecological restoration and prairie conservation work. However, the provided page focuses on internal institutional funding mechanisms rather than research-specific priorities. No indication of thematic alignment with AI-assisted evidence synthesis, social-ecological systems, or knowledge mobilization beyond general research support.",funding; ecology; canada-eligible,"While the applicant's ecology research fits UW–Madison's general institutional strengths, this funder page advertises internal institutional funding (primarily for UW–Madison employees). The applicant is currently at Canadian institutions (Carleton/Waterloo) and applying for tenure-track positions elsewhere, making eligibility unclear and relevance limited unless explicitly applying to UW–Madison faculty positions.",Fall Research Competition mentioned; specific 2025 deadlines not visible in provided text excerpt.,3
Science and Engineering Research Board,https://serbonline.in/opportunities,https://serbonline.in,low,True,medium,,3,"Partial overlap: SERB funds ecology, conservation, and social-ecological systems research, which aligns with the applicant's grassland conservation and restoration work. However, SERB has limited track record funding AI-assisted evidence synthesis or knowledge mobilization as primary research thrusts. The interdisciplinary AI + ecology focus is less standard for SERB's portfolio.",funding; ecology; canada-eligible,"SERB is India-focused and unlikely to prioritize standalone Canadian applications without institutional collaboration in India. While research themes show some alignment, the applicant should prioritize Canadian, NSERC, or explicitly international funding schemes.",,3
Universiteit Hasselt,https://www.uhasselt.be/en/research/funding,https://www.uhasselt.be,low,True,medium,,3,"Universiteit Hasselt has strengths in environmental science, sustainability, and social-ecological systems research, which aligns with the applicant's ecological restoration and social-ecological systems focus. However, no confirmation that the funder prioritizes AI-assisted synthesis, knowledge mobilization, or prairie grassland conservation specifically. Good thematic overlap but not a perfect disciplinary match.",funding; ecology; canada-eligible,"Without access to the funding call details, this opportunity presents moderate research fit but significant eligibility uncertainty for a Canadian-based assistant professor. The applicant should verify whether Universiteit Hasselt's current programs accept international applicants and whether they align with specific career-stage requirements.",,3
Great Lakes Fishery Commission,https://www.glfc.org/research-funding,https://www.glfc.org/,low,True,high,True,2,"The applicant's core expertise is in terrestrial prairie grassland restoration, social-ecological systems, and landowner engagement. While the applicant has translational ecology and knowledge mobilization skills, the Commission focuses on fisheries management and aquatic ecosystems. Prairie grassland conservation and AI-assisted evidence synthesis do not align with fisheries priorities. Limited overlap unless applicant repositions work toward Great Lakes aquatic restoration or fisheries-adjacent topics.",funding; ecology; canada-eligible,"While the applicant is Canadian-eligible and the Commission operates in the Great Lakes region, there is weak thematic fit between the applicant's terrestrial prairie/grassland restoration focus and the Commission's aquatic fisheries mandate. Applicant should monitor only if they have active Great Lakes aquatic ecosystem interests.",,2
Universidad Nacional Autónoma de México,https://www.unam.mx/convocatorias,https://www.unam.mx/,low,True,medium,,3,"Moderate overlap: UNAM likely supports ecological restoration and conservation research relevant to the applicant's prairie grassland and social-ecological systems work. However, the applicant's focus on North American prairies and Canadian landowner engagement may not align perfectly with UNAM's primary geographic scope (Mexico/Latin America). AI-assisted methods and knowledge mobilization are increasingly valued but may not be central to UNAM's traditional ecology funding.",funding; ecology; canada-eligible,"While UNAM is a prestigious funder and may technically accept Canadian applicants, the geographic mismatch (Mexico-focused institution vs. Canadian prairie-based research) and lack of confirmed eligibility criteria make this a lower priority. Monitor for specific bilateral or regional programs if available.",,2
Agricultural Research Service,https://www.ars.usda.gov/research/funding-opportunities/,https://www.ars.usda.gov/,low,True,medium,True,3,"Moderate fit. ARS focuses on agricultural productivity, sustainability, and natural resource management. The applicant's prairie grassland conservation, ecological restoration, and landowner engagement align with ARS priorities. However, the heavy emphasis on AI-assisted evidence synthesis, ontology development, and knowledge mobilization may be tangential to traditional ARS research foci, which prioritize applied agricultural outcomes.",funding; ecology; canada-eligible,"While the applicant's grassland and restoration work has some alignment with ARS interests, the primary barrier is likely Canadian ineligibility as a USDA agency with domestic focus. Even if eligible, the translational AI and knowledge mobilization emphasis may not align strongly with ARS's traditional applied agricultural research model.",,2
Division of Ocean Sciences,https://www.nsf.gov/funding/pgm_summ.jsp?org=OCE&sel_org=OCE,https://www.nsf.gov/geo/oce/,low,True,medium,True,2,"The applicant's research focuses on terrestrial prairie grassland conservation, social-ecological systems, and AI-assisted evidence synthesis. Ocean Sciences division funds marine and coastal research. Minimal overlap unless the applicant has unpublished marine/coastal restoration work. The methodological strengths (causal inference, LLMs, ontology) could apply to ocean science contexts, but the stated research portfolio is terrestrial-focused.",funding; ecology; canada-eligible,"Unless the applicant has marine or coastal restoration research not mentioned in this profile, this funder is misaligned with stated ecological focus on prairie grasslands. While career stage and likely Canadian eligibility are positive, the disciplinary mismatch outweighs other factors.",,2
